Description,Value
Slice (Logic Area),706 / 7680 (9%)
Memory (BRAM),2 / 32 (6%)
f_max [MHz],110.06
Synth Time [M:s.ms],0:04.71 
PnR Time [M:s.ms],0:01.51 
