Description,Value
Slice (Logic Area),706 / 7680 (9%)
Memory (BRAM),2 / 32 (6%)
f_max [MHz],104.89
Synth Time [M:s.ms],0:04.70 
PnR Time [M:s.ms],0:02.16 
