Description,23398,17956,28391,7464,15585,7482,6926,27203,11714,2371
lc[absolute],706,706,706,706,706,706,706,706,706,706
lc[percent],9,9,9,9,9,9,9,9,9,9
mem[absolute],2,2,2,2,2,2,2,2,2,2
mem[percent],6,6,6,6,6,6,6,6,6,6
f_max,115.51,110.06,119.45,103.73,112.31,120.39,116.33,112.31,104.89,117.29
synth time,0:04.81 ,0:04.71 ,0:04.73 ,0:04.74 ,0:04.93 ,0:04.68 ,0:04.67 ,0:04.68 ,0:04.70 ,0:04.75 
pnr time,0:01.64 ,0:01.51 ,0:01.63 ,0:01.57 ,0:01.52 ,0:01.39 ,0:01.72 ,0:01.44 ,0:02.16 ,0:01.49 
