Description,Value
Slice (Logic Area),1001 / 7680 (13%)
Memory (BRAM),2 / 32 (6%)
f_max [MHz],101.46
Synth Time [M:s.ms],0:05.23 
PnR Time [M:s.ms],0:01.93 
