Description,Value
Slice (Logic Area),943 / 7680 (12%)
Memory (BRAM),3 / 32 (9%)
f_max [MHz],101.25
Synth Time [M:s.ms],0:06.11 
PnR Time [M:s.ms],0:01.69 
