Description,Value
Slice (Logic Area),943 / 7680 (12%)
Memory (BRAM),3 / 32 (9%)
f_max [MHz],103.67
Synth Time [M:s.ms],0:06.13 
PnR Time [M:s.ms],0:02.52 
