Description,23398,17956,28391,7464,15585,7482,6926,27203,11714,2371
lc[absolute],1432,1432,1432,1432,1432,1432,1432,1432,1432,1432
lc[percent],18,18,18,18,18,18,18,18,18,18
mem[absolute],3,3,3,3,3,3,3,3,3,3
mem[percent],9,9,9,9,9,9,9,9,9,9
f_max,93.01,91.58,93.62,89.17,96.13,92.95,94.80,101.39,96.98,100.04
synth time,0:07.69 ,0:07.45 ,0:07.45 ,0:07.50 ,0:07.48 ,0:07.41 ,0:07.42 ,0:07.48 ,0:07.48 ,0:07.47 
pnr time,0:03.39 ,0:03.31 ,0:03.46 ,0:03.56 ,0:03.44 ,0:03.44 ,0:03.43 ,0:03.56 ,0:03.31 ,0:03.17 
