Description,Value
Slice (Logic Area),568 / 7680 (7%)
Memory (BRAM),2 / 32 (6%)
f_max [MHz],117.04
Synth Time [M:s.ms],0:03.86 
PnR Time [M:s.ms],0:01.06 
