Description,23398,17956,28391,7464,15585,7482,6926,27203,11714,2371
lc[absolute],1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
lc[percent],13,13,13,13,13,13,13,13,13,13
mem[absolute],2,2,2,2,2,2,2,2,2,2
mem[percent],6,6,6,6,6,6,6,6,6,6
f_max,100.82,101.46,96.59,97.71,97.90,97.78,87.91,94.05,101.10,93.30
synth time,0:05.36 ,0:05.23 ,0:05.34 ,0:05.20 ,0:05.42 ,0:05.34 ,0:05.32 ,0:05.23 ,0:05.36 ,0:05.17 
pnr time,0:02.15 ,0:01.93 ,0:02.05 ,0:02.28 ,0:02.52 ,0:02.27 ,0:01.95 ,0:02.70 ,0:02.08 ,0:02.29 
