Description,Value
Slice (Logic Area),1432 / 7680 (18%)
Memory (BRAM),3 / 32 (9%)
f_max [MHz],89.17
Synth Time [M:s.ms],0:07.50 
PnR Time [M:s.ms],0:03.56 
